SubjectID,X-Grade
65be44ae7088566069cc3bef454174a7,0.36
0bdf2c1f053650715e1f0c725d754b96,0.3917
ad8d3a0a0f0a084a97fad357c649438c,0.616
f4db8537e9d75da46c4efc36a2d70956,0.431
d7419ae04f248e5105ac3d0700389775,0.7243999999999999
e3edca0f6e68bfb76eaf26a8eb6dd94b,0.84
d843407a1a701630bb297c1148229eff,0.49
81a0c4689fb7ce553a0d5c2fd19b6efd,0.9
468cbac056133a996283cca7e2976336,0.675
d0a17b281c3e4eaef6718d891e38cb42,0.34
9acf1b76f369030270de8f98f84d6707,0.5939
d29af1fd577b037033dd1149e816d521,0.92
89ea5cb67579289ce2b6a46c42e30424,0.7759999999999999
e4191d610537305de1d294adb121b513,0.7661
380714d486fbd50c0c9dfc7e4d8be9f7,0.0
f892447540d0e840049183faa3109b1b,0.361
8425bc94a44e3d1bb3c8c026b2702c00,0.5760000000000001
717fb24cc33821afb4bcd529696cdfce,0.88
5364de2e6064f4d8a13c960b970b9f24,0.7111
9dbffba2a03b29811719318b20070b4a,0.7617
231d831a778dc5cb0bd16b330a547cba,0.48
d07d8b37dae3d7092c9f0c88945f0b6e,0.7983
bfe6c14c945256de12a6add92c83b4d9,0.6688
6a6caa12c63ac1c2f2b7d967b512887d,0.0
2225c699a36afb253a69074cad850b00,0.7726999999999999
8a6cb96eabdd2be1fe1e8bf4043d385f,0.86
1aaa7438a59157a0f21ad30dda4d4088,0.5
ccf4769973f7658ac976a063527c4292,0.825
a0cce36de7a1457b6802255fcec69081,0.5821000000000001
cd2018beeece5fb0a71a96308e567bde,0.4979
b36fd154dd0df788b77b7cfe39200ba3,0.8172
51b2e138a07e3570fb7147311365a5eb,0.6344
33edf41c0becd0d57c35c4e27276617b,0.7272
08fcb5ead4e963a6f0bbdbc971f4a3ee,0.81
3131a4cd22542b79134fe80f69f5b6ca,0.6412
8be57c24680317c02843631b253179d8,0.6364
d14220ee66aeec73c49038385428ec4c,0.4522
085d5d1e61effabc440d74ac51b91d87,0.94
c5f79d384b8024d5adddb872f9651f38,0.415
0aaf61723a352ba7ea1be4502df85765,0.6405
18d3284f148b6cb726b412b7059223ff,0.9
df438e5206f31600e6ae4af72f2725f1,0.6061
8f48863757fe83ca146cbf93e37b1ab7,0.34
a70a600d7c593ca50cc6639cd64ed71a,0.76
4129304d04cff4cb688585ffd88c45fd,0.8
6412121cbb2dc2cb9e460cfee7046be2,0.7817000000000001
def130d0b67eb38b7a8f4e7121ed432c,0.85
7d3f2fed7faf3501554970cd3c0d724e,0.88
04c32d4d95425f73b3a1d6502aed4d48,0.706
fda6baab618b39821b678bd52ff26428,0.86
33192f6b62911c61d4073ef0f9923420,0.63
11d8ffa1c1cb79e22b6d94667d3847d9,0.4703
0503bf609757acf2e75aa8cbc0d8323b,0.7617
58426cf937eb05143f82b6d41e8968bd,0.58
7dd21654ce1c39ec7632d219e8e71f11,0.46
71ffa17407d66e134442eebb32d330ec,0.98
62ef6dc6cdbfc1c60305b7d3d9a420a6,0.5783
b083c8db8880429bba105c048a7ea1b6,0.3717
4c4f120e57ea9448ccb7a07c48df40ff,0.5144
319e33a217f7368ff7ceef7731ccf024,0.8522
c876914f82ce54cb533b186afd41166e,0.3704
fc75d7ec538864978b5833d6a675c768,0.2806
a4546d484e137a6c92e317daae0e7131,0.8567
9bc99c590be3511b8d53741684ef574c,0.6522
e875a3ad4f52e44482240713d709930e,0.42
356fbc3c3158bc7a5932461b635064a2,0.5728
1d4db1fbfe9d6377c9226ff1e48b90ce,0.4757
d99fa3a9dd5df426e62b19597322920a,0.3677
8ae7398026ed8f2172aefd6cbc856bc8,0.596
65a99bb7a3115fdede20da98b08a370f,0.5951
787e8665307884350308429f4fc60451,0.7383
13dfe127c6d40641c7ad9fd60ef8701d,0.44
a65eb348fb03103dcd48530b52b996a7,0.82
266c430a5f40c90947ba9db582a37f54,0.6711
70cf1f7eb14c9f52277f07e84a2775f3,0.7417
91109a77036a730296d6305a9794fa13,0.9
f812291e86e5d515984dc44cf9d41ac3,0.0
0a7ff96e4fa7c92a13ccab013d580930,0.34
eb6dc8aba23375061b6f07b137617096,0.3594
b9e255d57bdc3d30828bfd835b86749c,0.45
96fe1255e032940e2739e06072855b95,0.64
b0eec27361a2a03d4480b560df531df7,0.8006
90c5841cb33b6ffdf75850044c595725,0.0
eb6bdd281dfc2688a42174679b8e5bbd,0.88
2e0a791950a53842e60d83295368cdff,0.88
effbafd134873f47f49c740581fb1854,0.88
f2a58d530f82792e08c9ffb0e7f0ee1f,0.89
67baaa05759c5f8da208f540ff782a5f,0.9
2f0f2f6da6992b9ca06b907a9e803296,0.54
ccd44234c58cba8173f8ae706a0fce24,0.5961
37b1fe960daba91fffadbdb5a3a9db15,0.6017
54d0ad877584296abb129e2e4f60ee67,0.6684
2caad38a4e3a8f3f61537412ef7aa439,0.5417000000000001
988d51eda1be1cd7bcd704d83b0391f9,0.83
a7ce4026f43a4491f1284bb38d96f440,0.24
804a73df74595024fef5c7082428a668,0.5529
